Version, Download
23.0.2,https://d37drm4t2jghv5.cloudfront.net/distributions/23.0.2/windows/windows_x86_32.exe
23.1.2,https://d37drm4t2jghv5.cloudfront.net/distributions/23.1.2/windows/windows_x86_32.exe
23.2.1,https://d37drm4t2jghv5.cloudfront.net/distributions/23.2.1/windows/windows_x86_32.exe
23.3.3,https://d37drm4t2jghv5.cloudfront.net/distributions/23.3.3/windows/windows_x86_32.exe
23.4.3,https://d37drm4t2jghv5.cloudfront.net/distributions/23.4.3/windows/windows_x86_32.exe
23.5.2,https://d37drm4t2jghv5.cloudfront.net/distributions/23.5.2/windows/windows_x86_32.exe
23.6.5,https://d37drm4t2jghv5.cloudfront.net/distributions/23.6.5/windows/windows_x86_32.exe
23.7.3,https://d37drm4t2jghv5.cloudfront.net/distributions/23.7.3/windows/windows_x86_32.exe
23.8.2,https://d37drm4t2jghv5.cloudfront.net/distributions/23.8.2/windows/windows_x86_32.exe
23.9.5,https://d37drm4t2jghv5.cloudfront.net/distributions/23.9.5/windows/windows_x86_32.exe
24.0.2,https://d37drm4t2jghv5.cloudfront.net/distributions/24.0.2/windows/windows_x86_32.exe
24.1.3,https://d37drm4t2jghv5.cloudfront.net/distributions/24.1.3/windows/windows_x86_32.exe
24.2.3,https://d37drm4t2jghv5.cloudfront.net/distributions/24.2.3/windows/windows_x86_32.exe
24.3.3,https://d37drm4t2jghv5.cloudfront.net/distributions/24.3.3/windows/windows_x86_32.exe
24.4.6,https://d37drm4t2jghv5.cloudfront.net/distributions/24.4.6/windows/windows_x86_32.exe
24.5.6,https://d37drm4t2jghv5.cloudfront.net/distributions/24.5.6/windows/windows_x86_32.exe
24.6.1,https://d37drm4t2jghv5.cloudfront.net/distributions/24.6.1/windows/windows_x86_32.exe
24.7.4,https://d37drm4t2jghv5.cloudfront.net/distributions/24.7.4/windows/windows_x86_32.exe
